name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
titanium chloride,TiCl2,g,TI  1.00CL  2.00    0.00    0.00    0.00,0,118.7724,-237237.623,300,1000,0,0,0,4.9723475,0.011277335,-2.06E-05,1.72E-08,-5.40E-12,-30366.285,2.55893221,1
titanium chloride,TiCl3,g,TI  1.00CL  3.00    0.00    0.00    0.00,0,154.2251,-539328.974,300,1000,0,0,0,2.8801557,0.033558933,-6.00E-05,4.89E-08,-1.51E-11,-66776.023,13.9580824,1
titanium chloride,TiCl4,g,TI  1.00CL  4.00    0.00    0.00    0.00,0,189.6778,-763178.781,300,1000,0,0,0,6.9496757,0.026049659,-4.65E-05,3.84E-08,-1.20E-11,-94677.831,-2.92585374,1
titanium oxide,TiO,g,TI  1.00O   1.00    0.00    0.00    0.00,0,63.8664,54392.051,300,1000,0,0,0,3.1198881,0.003120249,-1.33E-06,-1.33E-09,9.63E-13,5486.8719,9.44230674,1
titanium monoxide monochloride,TiOCl,g,TI  1.00O   1.00CL  1.00    0.00    0.00,0,99.3191,-244267.698,300,1000,0,0,0,3.4093856,0.015170554,-2.44E-05,1.87E-08,-5.57E-12,-30887.846,8.69422985,1
titanium monoxide dichloride,TiOCl2,g,TI  1.00O   1.00CL  2.00    0.00    0.00,0,134.7718,-545564.732,300,1000,0,0,0,5.440814,0.017705049,-2.95E-05,2.32E-08,-7.05E-12,-67806.854,3.45062857,1
titanium oxide,TiO2,g,TI  1.00O   2.00    0.00    0.00    0.00,0,79.8658,-305440.771,300,1000,0,0,0,3.0142717,0.010942101,-1.29E-05,7.12E-09,-1.49E-12,-38020.501,11.3641534,1
vanadium,V,g,V   1.00    0.00    0.00    0.00    0.00,0,50.9415,517267.064,200,1000,7907.064,-55353.7602,559.333851,2.675543482,-0.00624305,1.57E-05,-1.37E-08,4.17E-12,58206.6436,9.52456749,1
vanadium chloride,VCl4,g,V   1.00CL  4.00    0.00    0.00    0.00,0,192.7523,-525521.534,300,1000,0,0,0,7.1166462,0.025423217,-4.55E-05,3.76E-08,-1.18E-11,-66123.893,-2.33095475,1
vanadium nitride,VN,g,V   1.00N   1.00    0.00    0.00    0.00,0,64.94824,523013.121,300,1000,0,0,0,2.723359,0.004164299,-2.19E-06,-1.24E-09,1.08E-12,61927.893,11.4173579,1
vanadium oxide,VO,g,V   1.00O   1.00    0.00    0.00    0.00,0,66.9409,127615.031,300,1000,0,0,0,2.9438441,0.002905923,-9.95E-07,-1.41E-09,9.24E-13,14352.746,10.186431,1
vanadium oxide,VO2,g,V   1.00O   2.00    0.00    0.00    0.00,0,82.9403,-232634.437,300,1000,0,0,0,3.1937859,0.009297946,-8.34E-06,2.10E-09,4.46E-13,-29275.491,11.287219,1
tungsten,W,g,W   1.00    0.00    0.00    0.00    0.00,0,183.84,851243.526,200,1000,6216.526,159522.3922,-2673.843928,20.60469727,-0.062523152,0.000110565,-8.45E-08,2.34E-11,113964.8616,-90.118369,1
tungsten chloride,WCl6,g,W   1.00CL  6.00    0.00    0.00    0.00,0,396.5562,-493712,200,1000,30790.955,33393.9167,-1697.36608,25.60612352,-0.014252479,1.74E-05,-1.12E-08,2.95E-12,-56730.5924,-97.4146698,1
tungsten monoxide tetrachloride,WOCl4,g,W   1.00O   1.00CL  4.00    0.00    0.00,0,341.6502,-573493,200,1000,22271.379,26588.12693,-933.691324,13.21377385,0.012709308,-1.96E-05,1.41E-08,-3.90E-12,-67922.9079,-35.9487021,1
tungsten oxide,WO2,g,W   1.00O   2.00    0.00    0.00    0.00,0,215.8388,29061.744,200,1000,10714.848,3120.918919,241.3883468,-0.302411918,0.023243334,-3.38E-05,2.38E-08,-6.42E-12,1442.005265,29.57655179,1
tungsten dioxide dichloride,WO2Cl2,g,W   1.00O   2.00CL  2.00    0.00    0.00,0,286.7442,-671532,200,1000,19503.817,430.015448,-243.8547856,7.97630699,0.017150057,-2.49E-05,1.74E-08,-4.77E-12,-82328.124,-7.84477456,1
tungsten oxide,WO3,g,W   1.00O   3.00    0.00    0.00    0.00,0,231.8382,-319725.213,200,1000,13267.943,7262.46146,34.2939109,1.573061955,0.027549711,-3.99E-05,2.81E-08,-7.78E-12,-40017.3327,18.57409963,1
(WO3)2,W2O6,g,W   2.00O   6.00    0.00    0.00    0.00,0,463.6764,-1210443.298,200,1000,25543.014,80884.1451,-906.034079,7.60157539,0.052410085,-7.92E-05,5.71E-08,-1.61E-11,-144149.6996,-10.93524051,1
(WO3)3,W3O9,g,W   3.00O   9.00    0.00    0.00    0.00,0,695.5146,-2013291.101,200,1000,40688.367,34853.9001,-193.3496319,8.20654478,0.085995155,-0.000125757,8.89E-08,-2.47E-11,-246245.3469,-5.65732526,1
(WO3)4,W4O12,g,W   4.00O  12.00    0.00    0.00    0.00,0,927.3528,-2817433.885,200,1000,54538.739,13886.06167,228.7518563,8.66237,0.12197007,-0.00017705,1.25E-07,-3.46E-11,-346783.96,-3.60393729,1
(WO3)5,W5O15,g,W   5.00O  15.00    0.00    0.00    0.00,0,1159.191,-3551492.326,200,1000,68473.453,14975.76743,271.9999782,11.38626896,0.15233021,-0.000221145,1.56E-07,-4.32E-11,-437142.432,-14.41643481,1
xenon,Xe,g,XE  1.00    0.00    0.00    0.00    0.00,0,131.29,0,200,1000,6197.428,0,0,2.5,0,0,0,0,-745.375,6.16441993,1
zinc,Zn,g,ZN  1.00    0.00    0.00    0.00    0.00,0,65.39,130400,200,1000,6197.428,0,0,2.5,0,0,0,0,14938.05072,5.11886101,1
zirconium,Zr,g,ZR  1.00    0.00    0.00    0.00    0.00,0,91.224,599318.611,200,1000,6815.611,67158.9996,-943.598174,6.35975618,-0.000979012,-7.61E-06,9.31E-09,-3.12E-12,75880.1947,-16.65770522,1
zirconium nitride,ZrN,g,ZR  1.00N   1.00    0.00    0.00    0.00,0,105.23074,713372,200,1000,0,0,0,3.07188717,0.002643005,3.18E-07,-3.63E-09,2.03E-12,84768.4947,9.80588987,1
zirconium oxide,ZrO,g,ZR  1.00O   1.00    0.00    0.00    0.00,0,107.2234,83922.708,200,1000,8970.108,-509176.14,8652.77009,-52.9474015,0.172896176,-0.000245723,1.67E-07,-4.42E-11,-30951.29818,313.2576719,1
zirconium oxide,ZrO2,g,ZR  1.00O   2.00    0.00    0.00    0.00,0,123.2228,-286189.801,300,1000,0,0,0,3.2103779,0.011628976,-1.56E-05,1.00E-08,-2.54E-12,-35775.612,11.7738677,1
Air,N1.56O0.42Ar0.01,g,N   1.56O   0.42AR  0.01C   0.00    0.00,0,28.9651784,-125.53,200,1000,8649.264,10099.5016,-196.827561,5.00915511,-0.005761014,1.07E-05,-7.94E-09,2.19E-12,-176.796731,-3.92150099,1
perchloryl fluoride,ClO3F,g,CL  1.00O   3.00F   1.00    0.00    0.00,0,102.4493032,-23800,200,1000,13298.823,44608.777,-589.208408,3.55871337,0.028096202,-3.61E-05,2.27E-08,-5.72E-12,-1388.79811,4.59151362,1
