Name,Formula,State,Formula-Raw,Phase-Flag,Molecular-Weight,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
lithium dioxide dihydride,Li2O2H2,g,LI  2.00O   2.00H   2.00    0.00    0.00,0,47.89668,-737000,1000,6000,15579.04,1215363.488,-3982.02072,15.85873681,0.000750933,-2.59E-07,3.65E-11,-1.90E-15,-67387.7223,-66.4718155,1
lithium sulfate,Li2SO4,g,LI  2.00S   1.00O   4.00    0.00    0.00,0,109.9456,-1041842.051,1000,5000,0,0,0,14.929595,0.004609747,-2.04E-06,3.99E-10,-2.87E-14,-130635.28,-49.1664911,1
lithium chloride,Li3Cl3,g,LI  3.00CL  3.00    0.00    0.00    0.00,0,127.1811,-1004679.135,1000,5000,0,0,0,14.31944,0.001885401,-8.20E-07,1.57E-10,-1.11E-14,-125588.51,-42.7110226,1
lithium fluoride,Li3F3,g,LI  3.00F   3.00    0.00    0.00    0.00,0,77.8182096,-1517221.026,1000,5000,0,0,0,14.364422,0.00182855,-7.92E-07,1.52E-10,-1.07E-14,-187237.36,-45.060913,1
magnesium,Mg,g,MG  1.00    0.00    0.00    0.00    0.00,0,24.305,147100,1000,6000,6197.428,-536483.155,1973.709576,-0.36337769,0.002071796,-7.74E-07,1.36E-10,-7.77E-15,4829.18811,23.39104998,1
magnesium bromide,MgBr,g,MG  1.00BR  1.00    0.00    0.00    0.00,0,104.209,6163.315,1000,6000,9588.115,24776.04216,-641.768752,6.01993209,-0.001391004,6.44E-07,-1.20E-10,7.42E-15,2824.060334,-6.26443992,1
magnesium bromide,MgBr2,g,MG  1.00BR  2.00    0.00    0.00    0.00,0,184.113,-306743.219,1000,6000,14757.281,-43268.9901,-12.83036001,7.5100243,-4.15E-06,9.43E-10,-1.10E-13,5.20E-18,-39198.8602,-7.40916803,1
magnesium chloride,MgCl,g,MG  1.00CL  1.00    0.00    0.00    0.00,0,59.7577,-54704.887,1000,6000,9363.113,1041328.453,-3380.15833,8.63777547,-0.00244779,7.84E-07,-1.13E-10,5.81E-15,13271.88977,-27.03803148,1
magnesium monochloride monofluoride,MgClF,g,MG  1.00CL  1.00F   1.00    0.00    0.00,0,78.7561032,-569024,1000,6000,0,0,0,6.57082252,0.000448876,-1.78E-07,3.06E-11,-1.92E-15,-70523.5977,-5.83555414,1
magnesium chloride,MgCl2,g,MG  1.00CL  2.00    0.00    0.00    0.00,0,95.2104,-399169.896,1000,6000,13900.604,-68352.1701,-24.90899393,7.5187832,-7.56E-06,1.68E-09,-1.93E-13,8.97E-18,-50326.8691,-10.53269327,1
magnesium fluoride,MgF,g,MG  1.00F   1.00    0.00    0.00    0.00,0,43.3034032,-232266.792,1000,6000,8969.108,-169588.3782,358.875763,3.93600165,0.000481304,-1.66E-07,3.34E-11,-2.27E-15,-31693.2399,4.4105659,1
magnesium fluoride,MgF2,g,MG  1.00F   2.00    0.00    0.00    0.00,0,62.3018064,-735498.06,1000,6000,12622.44,-124441.9584,-86.8734375,7.56358123,-2.50E-05,5.44E-09,-6.16E-13,2.82E-17,-90600.1944,-14.2079699,1
